,text_labels_D2
21,"header { page-title , search-bar , cart-link } sidebar { ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
22,"header { page-title , search-bar , cart-link } sidebar { ck-box , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
23,"header { page-title , search-bar , cart-link } sidebar { radio , dropdn , slider , icons } canvas-header { btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
24,"header { page-title , search-bar , cart-link } sidebar { radio , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
25,"header { page-title , search-bar , cart-link } sidebar { slider , icons } canvas-header { btn-inactive , btn-active }"
26,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-green } }"
27,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
28,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
29,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
30,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
31,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , dropdn , slider } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
32,"header { page-title } sidebar { medium-title , ck-box , radio , dropdn , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
33,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , radio , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
34,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , dropdn , slider } canvas-header { btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
35,"header { page-title } sidebar { medium-title , radio , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
36,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , dropdn , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
37,"header { page-title , search-bar , cart-link , burger-link } sidebar { medium-title , rating } canvas-header { } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
38,"header { page-title , search-bar , cart-link , burger-link } sidebar { ck-box , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
39,"header { page-title , search-bar , cart-link , burger-link } sidebar { ck-box , dropdn , rating } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
40,"header { page-title , search-bar , cart-link , burger-link } sidebar { ck-box , slider , rating } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
41,"header { page-title , search-bar , cart-link , burger-link } sidebar { radio } canvas-header { btn-active , btn-inactive }"
42,"header { page-title , search-bar , cart-link , burger-link } sidebar { radio , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
43,"header { page-title , search-bar , cart-link , burger-link } sidebar { rating , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
44,"header { page-title , search-bar , cart-link , burger-link } sidebar { icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
45,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , radio , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
46,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , radio , dropdn , icons } canvas-header { btn-active } row { single { small-title , text , btn-orange } }"
47,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , radio , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
48,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , radio , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
49,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , dropdn , rating } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
50,"header { page-title , search-bar , burger-link } sidebar { medium-title , ck-box , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
51,"header { page-title , search-bar , burger-link } sidebar { medium-title , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
52,"header { page-title , search-bar , burger-link } sidebar { medium-title , radio , dropdn , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
53,"header { page-title , search-bar , burger-link } sidebar { medium-title , radio , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active }"
54,"header { page-title , search-bar , burger-link } sidebar { medium-title , radio , slider , icons } canvas-header { btn-active }"
55,"header { page-title , search-bar , burger-link } sidebar { medium-title , radio , rating } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
56,"header { page-title , search-bar , burger-link } sidebar { medium-title , dropdn , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
57,"header { page-title , search-bar , burger-link } sidebar { medium-title , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
58,"header { page-title , search-bar , burger-link } sidebar { medium-title , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
59,"header { page-title , search-bar , burger-link } sidebar { medium-title , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
60,"header { page-title , search-bar , burger-link } sidebar { ck-box } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } }"
61,"header { page-title , search-bar , burger-link } sidebar { ck-box , radio , dropdn , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
62,"header { page-title , search-bar , burger-link } sidebar { ck-box , radio , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
63,"header { page-title , search-bar , burger-link } sidebar { ck-box , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive }"
64,"header { page-title , search-bar , burger-link } sidebar { ck-box , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
65,"header { page-title , search-bar , burger-link } sidebar { ck-box , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
66,"header { page-title , search-bar , burger-link } sidebar { radio , dropdn , rating , icons } canvas-header { }"
67,"header { page-title , search-bar , burger-link } sidebar { radio , dropdn , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
68,"header { page-title , search-bar , burger-link } sidebar { radio , slider , rating } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
69,"header { page-title , search-bar , burger-link } sidebar { radio , slider , rating } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
70,"header { page-title , search-bar , burger-link } sidebar { radio , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
71,"header { page-title , search-bar , burger-link } sidebar { dropdn , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
72,"header { page-title , search-bar , burger-link } sidebar { slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
73,"header { page-title } sidebar { medium-title , ck-box , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
74,"header { page-title , cart-link } sidebar { medium-title , ck-box , radio , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive }"
75,"header { page-title } sidebar { ck-box , radio } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
76,"header { page-title , cart-link } sidebar { medium-title , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
77,"header { page-title , cart-link } sidebar { medium-title , radio , slider } canvas-header { btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
78,"header { page-title } sidebar { ck-box , radio , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
79,"header { page-title , cart-link } sidebar { medium-title , dropdn } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
80,"header { page-title , cart-link } sidebar { medium-title , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
81,"header { page-title , cart-link } sidebar { medium-title , dropdn , rating , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
82,"header { page-title , cart-link } sidebar { medium-title , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
83,"header { page-title , cart-link } sidebar { ck-box } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } }"
84,"header { page-title , cart-link } sidebar { ck-box , radio , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
85,"header { page-title , cart-link } sidebar { ck-box , dropdn , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } }"
86,"header { page-title , cart-link } sidebar { ck-box , dropdn , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-red } }"
87,"header { page-title , cart-link } sidebar { ck-box , slider } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
88,"header { page-title } sidebar { ck-box , radio , slider } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
89,"header { page-title , cart-link } sidebar { dropdn , slider , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
90,"header { page-title , cart-link } sidebar { slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
91,"header { page-title , cart-link , burger-link } sidebar { medium-title } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
92,"header { page-title , cart-link , burger-link } sidebar { medium-title , ck-box , radio } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
93,"header { page-title } sidebar { ck-box , radio , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
94,"header { page-title , cart-link , burger-link } sidebar { medium-title , radio , rating } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
95,"header { page-title , cart-link , burger-link } sidebar { medium-title , slider } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
96,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , dropdn } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
97,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } }"
98,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , dropdn , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive }"
99,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , dropdn , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
100,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , slider } canvas-header { btn-active , btn-inactive }"
101,"header { page-title , cart-link , burger-link } sidebar { ck-box , radio , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
102,"header { page-title , cart-link , burger-link } sidebar { ck-box , dropdn } canvas-header { }"
103,"header { page-title } sidebar { ck-box , dropdn , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive }"
104,"header { page-title , cart-link , burger-link } sidebar { ck-box , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive }"
105,"header { page-title , cart-link , burger-link } sidebar { radio , dropdn , slider , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
106,"header { page-title , cart-link , burger-link } sidebar { radio , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive }"
107,"header { page-title , cart-link , burger-link } sidebar { dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
108,"header { page-title , cart-link , burger-link } sidebar { dropdn , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
109,"header { page-title , burger-link } sidebar { medium-title } canvas-header { } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
